Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_temperature__abs2.85449, zfp_abs__2.85449, 0.810547, 0.000287906, 0.0218226, 138.956, 109.736, 193.928, 2.95908
zfp_temperature__abs5.396, zfp_abs__5.39600, 1.68994, 0.000569996, 0.0872974, 132.935, 125.294, 204.293, 3.26059
zfp_temperature__abs8.17334, zfp_abs__8.17334, 3.22656, 0.0011481, 0.349238, 126.914, 130.743, 218.057, 3.63053
zfp_temperature__abs10.7725, zfp_abs__10.7725, 3.22656, 0.0011481, 0.349238, 126.914, 130.755, 217.312, 3.63053
zfp_temperature__abs12.7065, zfp_abs__12.7065, 3.22656, 0.0011481, 0.349238, 126.914, 129.916, 215.679, 3.63053
zfp_temperature__abs14.8223, zfp_abs__14.8223, 3.22656, 0.0011481, 0.349238, 126.914, 130.851, 216.824, 3.63053
zfp_temperature__abs18.8945, zfp_abs__18.8945, 6.43408, 0.00217905, 1.39689, 120.894, 136.06, 231.042, 4.09518
zfp_temperature__abs21.3691, zfp_abs__21.3691, 6.43408, 0.00217905, 1.39689, 120.894, 135.874, 232.191, 4.09518
zfp_temperature__abs25.0005, zfp_abs__25.0005, 6.43408, 0.00217905, 1.39689, 120.894, 136.224, 230.376, 4.09518
zfp_temperature__abs29.2104, zfp_abs__29.2104, 6.43408, 0.00217905, 1.39689, 120.894, 135.837, 231.174, 4.09518
zfp_temperature__abs50.6729, zfp_abs__50.6729, 13.1318, 0.00469523, 5.58657, 114.874, 141.67, 247.019, 4.69639
zfp_temperature__abs77.3667, zfp_abs__77.3667, 26.8789, 0.00929899, 22.3353, 108.855, 146.48, 266.521, 5.50513
zfp_temperature__abs105.853, zfp_abs__105.853, 26.8789, 0.00929899, 22.3353, 108.855, 148.429, 267.921, 5.50513
zfp_temperature__abs134.604, zfp_abs__134.604, 53.8105, 0.0209194, 88.9166, 102.855, 156.387, 291.911, 6.65098
zfp_temperature__abs159.592, zfp_abs__159.592, 53.8105, 0.0209194, 88.9166, 102.855, 156.647, 287.497, 6.65098
zfp_temperature__abs178.649, zfp_abs__178.649, 53.8105, 0.0209194, 88.9166, 102.855, 156.431, 289.827, 6.65098
zfp_temperature__abs202.771, zfp_abs__202.771, 53.8105, 0.0209194, 88.9166, 102.855, 156.533, 288.885, 6.65098
zfp_temperature__abs247.76, zfp_abs__247.760, 53.8105, 0.0209194, 88.9166, 102.855, 156.303, 289.106, 6.65098
zfp_temperature__abs276.153, zfp_abs__276.153, 105.027, 0.0342444, 347.685, 96.9334, 166.377, 320.98, 8.38423
zfp_temperature__abs516.683, zfp_abs__516.683, 216.616, 0.0755331, 1304.21, 91.1918, 180.385, 366.872, 11.1837
zfp_temperature__abs805.253, zfp_abs__805.253, 216.616, 0.0755331, 1304.21, 91.1918, 180.651, 367.058, 11.1837
zfp_temperature__abs1037.16, zfp_abs__1037.16, 420.363, 0.142864, 4660.63, 85.6608, 199.444, 429.564, 15.8177
zfp_temperature__abs1298.79, zfp_abs__1298.79, 420.363, 0.142864, 4660.63, 85.6608, 186.106, 430.389, 15.8177
zfp_temperature__abs1491.37, zfp_abs__1491.37, 420.363, 0.142864, 4660.63, 85.6608, 198.407, 426.471, 15.8177
zfp_temperature__abs1818.22, zfp_abs__1818.22, 420.363, 0.142864, 4660.63, 85.6608, 198.129, 429.638, 15.8177
zfp_temperature__abs2010.56, zfp_abs__2010.56, 420.363, 0.142864, 4660.63, 85.6608, 198.356, 432.966, 15.8177
zfp_temperature__abs2474.03, zfp_abs__2474.03, 792.935, 0.272723, 16205.9, 80.2485, 220.871, 505.772, 23.1152
zfp_temperature__abs2510.36, zfp_abs__2510.36, 792.935, 0.272723, 16205.9, 80.2485, 220.114, 509.604, 23.1152
zfp_temperature__abs5074.82, zfp_abs__5074.82, 1588.15, 0.593342, 56337.6, 74.8373, 246.819, 604.232, 33.7717
zfp_temperature__abs7285.65, zfp_abs__7285.65, 1588.15, 0.593342, 56337.6, 74.8373, 246.547, 597.86, 33.7717
zfp_temperature__abs9538.6, zfp_abs__9538.60, 3093.97, 1.102, 200792, 69.3178, 276.213, 696.729, 47.9877
zfp_temperature__abs13916.4, zfp_abs__13916.4, 3093.97, 1.102, 200792, 69.3178, 275.884, 689.142, 47.9877
zfp_temperature__abs15074.4, zfp_abs__15074.4, 3093.97, 1.102, 200792, 69.3178, 276.587, 696.917, 47.9877
zfp_temperature__abs15498.6, zfp_abs__15498.6, 3093.97, 1.102, 200792, 69.3178, 248.174, 697.366, 47.9877
zfp_temperature__abs18728.9, zfp_abs__18728.9, 11848.6, 3.15751, 722659, 63.7559, 312.229, 789.764, 66.1496
zfp_temperature__abs21474, zfp_abs__21474.0, 11848.6, 3.15751, 722659, 63.7559, 312.145, 792.068, 66.1496
